task,metric,mean,ci_low,ci_high,n_prompts
creative_tasks,pct_cap,0.0,0.0,0.0,50
everyday_advice,pct_cap,0.0,0.0,0.0,38
general_knowledge,pct_cap,0.0,0.0,0.0,33
moral_reasoning,pct_cap,0.0,0.0,0.0,34
rephrasing_cooking_advice,pct_cap,0.0,0.0,0.0,11
rephrasing_everyday_advice,pct_cap,0.0,0.0,0.0,16
rephrasing_wakeup_advice,pct_cap,0.0,0.0,0.0,11
writing_help,pct_cap,0.0,0.0,0.0,20
creative_tasks,pct_deferral,0.0,0.0,0.0,50
everyday_advice,pct_deferral,0.0,0.0,0.0,38
general_knowledge,pct_deferral,0.0,0.0,0.0,33
moral_reasoning,pct_deferral,0.0,0.0,0.0,34
rephrasing_cooking_advice,pct_deferral,0.0,0.0,0.0,11
rephrasing_everyday_advice,pct_deferral,0.0,0.0,0.0,16
rephrasing_wakeup_advice,pct_deferral,0.0,0.0,0.0,11
writing_help,pct_deferral,0.0,0.0,0.0,20
creative_tasks,pct_disc,0.0,0.0,0.0,50
everyday_advice,pct_disc,0.0,0.0,0.0,38
general_knowledge,pct_disc,0.0,0.0,0.0,33
moral_reasoning,pct_disc,0.0,0.0,0.0,34
rephrasing_cooking_advice,pct_disc,0.0,0.0,0.0,11
rephrasing_everyday_advice,pct_disc,0.0,0.0,0.0,16
rephrasing_wakeup_advice,pct_disc,0.0,0.0,0.0,11
writing_help,pct_disc,0.0,0.0,0.0,20
creative_tasks,pct_filler,0.0,0.0,0.0,50
everyday_advice,pct_filler,3.9473684210526314,0.0,10.526315789473685,38
general_knowledge,pct_filler,0.0,0.0,0.0,33
moral_reasoning,pct_filler,0.0,0.0,0.0,34
rephrasing_cooking_advice,pct_filler,0.0,0.0,0.0,11
rephrasing_everyday_advice,pct_filler,0.0,0.0,0.0,16
rephrasing_wakeup_advice,pct_filler,0.0,0.0,0.0,11
writing_help,pct_filler,0.0,0.0,0.0,20
creative_tasks,pct_generic,2.0,0.0,6.0,50
everyday_advice,pct_generic,48.68421052631579,35.526315789473685,61.8421052631579,38
general_knowledge,pct_generic,3.0303030303030303,0.0,9.090909090909092,33
moral_reasoning,pct_generic,70.58823529411765,57.35294117647059,83.82352941176471,34
rephrasing_cooking_advice,pct_generic,9.090909090909092,0.0,22.727272727272727,11
rephrasing_everyday_advice,pct_generic,43.75,25.0,62.5,16
rephrasing_wakeup_advice,pct_generic,50.0,27.272727272727273,72.72727272727273,11
writing_help,pct_generic,27.5,15.0,42.5,20
creative_tasks,pct_hedge,2.0,0.0,6.0,50
everyday_advice,pct_hedge,2.6315789473684212,0.0,6.578947368421052,38
general_knowledge,pct_hedge,3.0303030303030303,0.0,9.090909090909092,33
moral_reasoning,pct_hedge,69.11764705882354,55.88235294117647,82.3529411764706,34
rephrasing_cooking_advice,pct_hedge,0.0,0.0,0.0,11
rephrasing_everyday_advice,pct_hedge,0.0,0.0,0.0,16
rephrasing_wakeup_advice,pct_hedge,0.0,0.0,0.0,11
writing_help,pct_hedge,2.5,0.0,7.5,20
creative_tasks,pct_safety,0.0,0.0,0.0,50
everyday_advice,pct_safety,7.894736842105263,1.3157894736842106,17.105263157894736,38
general_knowledge,pct_safety,0.0,0.0,0.0,33
moral_reasoning,pct_safety,1.4705882352941178,0.0,4.411764705882353,34
rephrasing_cooking_advice,pct_safety,0.0,0.0,0.0,11
rephrasing_everyday_advice,pct_safety,0.0,0.0,0.0,16
rephrasing_wakeup_advice,pct_safety,4.545454545454546,0.0,13.636363636363637,11
writing_help,pct_safety,0.0,0.0,0.0,20
creative_tasks,pct_struct,0.0,0.0,0.0,50
everyday_advice,pct_struct,15.789473684210526,6.578947368421052,26.31578947368421,38
general_knowledge,pct_struct,0.0,0.0,0.0,33
moral_reasoning,pct_struct,0.0,0.0,0.0,34
rephrasing_cooking_advice,pct_struct,9.090909090909092,0.0,22.727272727272727,11
rephrasing_everyday_advice,pct_struct,9.375,0.0,18.75,16
rephrasing_wakeup_advice,pct_struct,4.545454545454546,0.0,13.636363636363637,11
writing_help,pct_struct,25.0,10.0,40.0,20
creative_tasks,pct_univ,0.0,0.0,0.0,50
everyday_advice,pct_univ,27.63157894736842,17.105263157894736,39.473684210526315,38
general_knowledge,pct_univ,0.0,0.0,0.0,33
moral_reasoning,pct_univ,0.0,0.0,0.0,34
rephrasing_cooking_advice,pct_univ,0.0,0.0,0.0,11
rephrasing_everyday_advice,pct_univ,43.75,25.0,62.5,16
rephrasing_wakeup_advice,pct_univ,50.0,27.272727272727273,72.72727272727273,11
writing_help,pct_univ,0.0,0.0,0.0,20
